CATEGORY,TYPE,POSITION
0,アーキテクト,3
0,基盤,1.5
0,プログラマ,2
0,コーダ,-1
0,テスタ,-3
1,アーキテクト,0.5
1,基盤,3
1,プログラマ,1.5
1,コーダ,-1
1,テスタ,-3
2,アーキテクト,2
2,基盤,1.5
2,プログラマ,3
2,コーダ,-2
2,テスタ,-3
3,アーキテクト,2.5
3,基盤,0
3,プログラマ,2
3,コーダ,-1
3,テスタ,-3
4,アーキテクト,3
4,基盤,1.5
4,プログラマ,2
4,コーダ,-2
4,テスタ,-3
5,アーキテクト,2.5
5,基盤,-1
5,プログラマ,3
5,コーダ,-1
5,テスタ,-3
6,アーキテクト,2
6,基盤,1
6,プログラマ,3
6,コーダ,-2
6,テスタ,-3
7,アーキテクト,2
7,基盤,1
7,プログラマ,1.5
7,コーダ,-2
7,テスタ,-3
8,アーキテクト,2.5
8,基盤,1.5
8,プログラマ,2
8,コーダ,-3
8,テスタ,-3
9,アーキテクト,3
9,基盤,2.5
9,プログラマ,1.5
9,コーダ,-1
9,テスタ,-3
